point,density,population,area,location,density_type,Département,latitude,longitude,daynight,acq_date
"(46.577, 3.3960000000000004)",302.6595744680851,13087.0,43.24,Yzeure,commune,3,46.577,3.3960000000000004,D,2020-07-07
"(48.76, -3.43)",451.53723525392854,19827.0,43.91,Lannion,commune,22,48.76,-3.43,D,2020-07-07
"(45.328, 3.3710000000000004)",84.78478478478479,847.0,9.99,Cohade,commune,43,45.328,3.3710000000000004,D,2020-07-07
"(48.736999999999995, 2.784)",570.2650290885583,8822.0,15.47,Tournan-en-Brie,commune,77,48.736999999999995,2.784,D,2020-07-07
"(48.763999999999996, -3.4389999999999996)",451.53723525392854,19827.0,43.91,Lannion,commune,22,48.763999999999996,-3.4389999999999996,D,2020-07-07
"(43.559, 3.4189999999999996)",56.497175141242934,1000.0,17.7,Fontès,commune,34,43.559,3.4189999999999996,D,2020-07-08
"(48.611999999999995, 6.117999999999999)",1556.7567567567569,6912.0,4.44,Neuves-Maisons,commune,54,48.611999999999995,6.117999999999999,D,2020-07-09
"(47.618, 6.142)",232.29166666666663,2007.0,8.64,Noidans-lès-Vesoul,commune,70,47.618,6.142,D,2020-07-09
"(43.443999999999996, 4.898)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.443999999999996,4.898,N,2020-07-09
"(43.44300000000001, 4.8919999999999995)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.44300000000001,4.8919999999999995,N,2020-07-10
"(51.038999999999994, 2.2969999999999997)",1102.3320895522388,23634.0,21.44,Grande-Synthe,commune,59,51.038999999999994,2.2969999999999997,D,2020-07-11
"(51.036, 2.2969999999999997)",1102.3320895522388,23634.0,21.44,Grande-Synthe,commune,59,51.036,2.2969999999999997,D,2020-07-11
"(43.45, 4.8919999999999995)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.45,4.8919999999999995,N,2020-07-11
"(51.045, 2.301)",1102.3320895522388,23634.0,21.44,Grande-Synthe,commune,59,51.045,2.301,N,2020-07-11
"(51.045, 2.301)",1102.3320895522388,23634.0,21.44,Grande-Synthe,commune,59,51.045,2.301,D,2020-09-05
"(51.044, 2.2969999999999997)",1102.3320895522388,23634.0,21.44,Grande-Synthe,commune,59,51.044,2.2969999999999997,N,2020-07-12
"(48.663999999999994, -2.334)",57.10123816460306,784.0,13.73,Plévenon,commune,22,48.663999999999994,-2.334,D,2020-07-12
"(48.724, 2.8360000000000003)",44.73350253807106,705.0,15.76,Châtres,commune,77,48.724,2.8360000000000003,D,2020-07-12
"(46.349, -0.319)",160.1159420289855,5524.0,34.5,La Crèche,commune,79,46.349,-0.319,D,2020-07-12
"(47.489, 3.694)",12.427616926503338,279.0,22.45,Montillot,commune,89,47.489,3.694,D,2020-07-13
"(49.68600000000001, 1.686)",27.770700636942678,654.0,23.55,Criquiers,commune,76,49.68600000000001,1.686,D,2020-07-13
"(49.684, 1.69)",27.770700636942678,654.0,23.55,Criquiers,commune,76,49.684,1.69,D,2020-07-13
"(46.37, 0.905)",16.353715294495267,1019.0,62.31,Saulgé,commune,86,46.37,0.905,D,2020-07-13
"(43.595, 1.306)",1862.7460393662989,38801.0,20.83,Colomiers,commune,31,43.595,1.306,N,2020-07-13
"(43.591, 1.284)",674.5571051639653,17896.0,26.53,Plaisance-du-Touch,commune,31,43.591,1.284,N,2020-07-13
"(43.44600000000001, 4.898)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.44600000000001,4.898,N,2020-07-14
"(43.44600000000001, 4.898)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.44600000000001,4.898,N,2020-07-30
"(43.44600000000001, 4.898)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.44600000000001,4.898,N,2020-08-31
"(43.81100000000001, 4.223)",293.5672514619883,1004.0,3.42,Saint-Dionisy,commune,30,43.81100000000001,4.223,D,2020-07-14
"(45.556999999999995, 3.263)",739.6648044692737,14564.0,19.69,Issoire,commune,63,45.556999999999995,3.263,D,2020-07-14
"(42.791000000000004, 2.885)",301.7385257301808,8678.0,28.76,Rivesaltes,commune,66,42.791000000000004,2.885,D,2020-07-14
"(43.12600000000001, 0.988)",57.429352780309934,630.0,10.97,Cassagne,commune,31,43.12600000000001,0.988,N,2020-07-14
"(43.494, 5.178999999999999)",308.82218148487624,13477.0,43.64,Berre-l'Étang,commune,13,43.494,5.178999999999999,N,2020-07-15
"(43.507, 5.209)",679.8396334478808,11870.0,17.46,Rognac,commune,13,43.507,5.209,N,2020-07-16
"(43.50899999999999, 5.19)",308.82218148487624,13477.0,43.64,Berre-l'Étang,commune,13,43.50899999999999,5.19,N,2020-07-16
"(43.821999999999996, 4.3180000000000005)",930.9360518999074,150672.0,161.85,Nîmes,commune,30,43.821999999999996,4.3180000000000005,D,2020-07-16
"(43.528999999999996, 3.929)",2593.697478991597,6173.0,2.38,Palavas-les-Flots,commune,34,43.528999999999996,3.929,D,2020-07-16
"(43.44300000000001, 4.898)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.44300000000001,4.898,D,2020-07-16
"(43.49800000000001, 5.182)",308.82218148487624,13477.0,43.64,Berre-l'Étang,commune,13,43.49800000000001,5.182,D,2020-07-16
"(51.038000000000004, 2.298)",1102.3320895522388,23634.0,21.44,Grande-Synthe,commune,59,51.038000000000004,2.298,D,2020-07-17
"(43.46100000000001, 4.4830000000000005)",7.154106937882063,2680.0,374.61,Saintes-Maries-de-la-Mer,commune,13,43.46100000000001,4.4830000000000005,D,2020-07-18
"(43.45399999999999, 4.535)",7.154106937882063,2680.0,374.61,Saintes-Maries-de-la-Mer,commune,13,43.45399999999999,4.535,D,2020-07-18
"(48.028999999999996, 0.99)",7.835144927536232,173.0,22.08,Boursay,commune,41,48.028999999999996,0.99,D,2020-07-18
"(43.445, 4.894)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.445,4.894,N,2020-07-18
"(43.445, 4.894)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.445,4.894,D,2020-09-02
"(43.445, 4.894)",171.49821254468637,15831.0,92.31,Fos-sur-Mer,commune,13,43.445,4.894,D,2020-10-08
"(43.771, 4.4)",930.9360518999074,150672.0,161.85,Nîmes,commune,30,43.771,4.4,N,2020-07-19
"(43.773, 4.388)",930.9360518999074,150672.0,161.85,Nîmes,commune,30,43.773,4.388,N,2020-07-19
"(46.059, -0.634)",31.4859437751004,784.0,24.9,Bernay-Saint-Martin,commune,17,46.059,-0.634,D,2020-07-19
"(46.06800000000001, -0.631)",31.4859437751004,784.0,24.9,Bernay-Saint-Martin,commune,17,46.06800000000001,-0.631,D,2020-07-19
"(44.071999999999996, -1.2209999999999999)",21.788015905662967,1589.0,72.93,Saint-Julien-en-Born,commune,40,44.071999999999996,-1.2209999999999999,D,2020-07-19
"(44.724, -0.815)",166.4457165812996,16573.0,99.57,Cestas,commune,33,44.724,-0.815,D,2020-07-19
"(46.06, -0.639)",31.4859437751004,784.0,24.9,Bernay-Saint-Martin,commune,17,46.06,-0.639,D,2020-07-19
"(43.94, -0.95)",21.90810085036551,2937.0,134.06,Rion-des-Landes,commune,40,43.94,-0.95,D,2020-07-19
"(46.062, -0.626)",31.4859437751004,784.0,24.9,Bernay-Saint-Martin,commune,17,46.062,-0.626,D,2020-07-19
